term,estimate,std.error,statistic,p.value
(Intercept),136.72955927266239,1.9968354062273492,68.47312444794214,5.712947065734043e-201
body_mass_g,0.015275915608037266,4.66835963857519e-4,32.72223391233749,4.3706809629968546e-107
